Exercise,Exercise Description,Question,Question Text,Option 1,Option 2,Option 3,Option 4,Option 5,Option 6
16,"For the events A, B and C, P(A), P(B), P(C), P(A ∩ B), P(A ∩ C), P(A ∩ B ∩ C) and P(A ∪ B ∪ C) are known. One wants to calculate P(B ∩ C).",16,"The probability P(B∩C) is determined by","P(B∩C)=P(A)+P(B)+P(C)-P(A∩B)-P(A∪B∪C)","P(B∩C)=P(A)+P(B)+P(C)-P(A∩B)+P(A∩B∩C)-P(A∪B∪C)","P(B∩C)=P(A)+P(B)+P(C)-P(A∩B)-P(A∩C)+P(A∩B∩C)-P(A∪B∪C)","P(B∩C)=P(A∪B∪C)-P(A)-P(B)-P(C)+P(A∩B)-P(A∩B∩C)","P(B∩C)=P(B)+P(C)-P(A∪B∪C)","Do not know"
17,"The number of defects N in some material can be described by a Poisson distribution with mean γ. Fi = the event there are i defects in the material. One wants to express the probability for the event H = (F0 ∪ F1 ∪ F2) using N.",17,"P(H) can be expressed alternatively as","P(H)=P(N≤2)","P(H)=P(N=0)+P(N=1)+P(N=2)","P(H)=P(Fi≤2)","P(H)=P(N=0,N=1,N=2)","It is not possible to express P(H) using N with the information given.","Do not know"
18,"A certain fish species spawn a number of eggs that can be described by a Poisson distribution with mean µ. Each egg gives rise to a female fish larvae with probability p and gives rise to a male fish larvae with probability 1-p.",18,"The expected number of eggs from fish of this species, that gives rise to a female fish larvae is","μ/p","μp","μ(1-p)","μ(p+p^2)","μp(1-p)","Do not know"
19,"In a physical experiment, electrons are emitted at high velocity towards a screen. The hitting point of an electron on the screen can be described by the coordinates (X, Y), where X and Y are independent standard normal random variables. Of interest: electrons hit between 1 and 2 length units from the origin.",19,"The probability that an electron hits between 1 and 2 length units from the target is","Φ(2)-Φ(1)","2(Φ(2)-Φ(1))","exp(-1/2)-exp(-2)","1-Σ_{r=0}^1 x^r/r! e^{-x}","e^{-2}","Do not know"
20,"A communication system for railways has a critical time limit for a handshaking process - the so-called round trip time. Mean and standard deviation for this time is known to be 12ms and 6ms respectively. Want to determine a threshold value for a round trip time, which is exceeded with probability at most 1/9.",20,"The limit in question is determined to be","30ms","66ms","120ms","12+6Φ^{-1}(17/18) ms","12+6Φ^{-1}(8/9) ms","Do not know"
21,"The life time of an electronic component can with reasonable accuracy be described by an exponential(λ) random variable. The component has reached the age t.",21,"With the given information, determine the probability that the component will fail in the interval [t, t + dt].","λdt","λe^{-λt}dt","e^{-λt}-e^{-λ(t+dt)}","λe^{-λt}/(1-e^{-λt})dt","λe^{-λt}","Do not know"
22,"Let X be a positive random variable, such that P(X ≤ x) = 1 − e^{-λx} and define Y = 1/X.",22,"The probability P(Y≤y) is","1-e^{-λ/y}","1-e^{-y/λ}","e^{-y/λ}","e^{-1/(λy)}","e^{-λ/y}","Do not know"
23,"Consider a game of dice using six normal six-sided dice. The aim is to get as many sixes as possible. You can throw at most two times...",23,"If you got v sixes in the first throw, then the probability of getting w sixes in total is","binom{6}{w}(1/6)^w(5/6)^{6-w}","1/(6-v)","binom{6-v}{w-v}(1/6)^{w-v}(5/6)^{6+v-w}","1/6","binom{6-v}{w-v}(1/6)^{w-v}(5/6)^{6-w}","Do not know"
24,"A point is chosen at random in a circular disk. A straight line is drawn through the point and the center of the circle.",24,"The probability that the absolute value of the slope of the line is less than 1 is","Arctan(2/5)/π","1/π","1/4","1/3","1/2","Do not know"
25,"The cause of an air-crash can roughly be ascribed to a. human error, b. mechanical failure, c. act of terrorism. P(human error) = 1/50, P(mech fail)=1/500, P(terrorism)=1/500000 ...",25,"Knowing that an air-crash has occurred, what is the probability that the crash was caused by an act of terrorism","1/4","2/3","1/3*10^{-6}","20000/20033","1/3","Do not know"
26,"You have 5 independent exponential(µ) distributed variables.",26,"The density g(x) of the second largest of the 5 variables is","μ(μx)^4/4! e^{-μx}","μ^4 e^{-μx/4}","5!/(3!x^3)(1-x)","20μe^{-4μx}-20μe^{-4μx}","20μe^{-2μx}-60μe^{-3μx}+60μe^{-4μx}-20μe^{-5μx}","Do not know"
27,"The exponential distribution relates to the geometric distribution like the gamma distribution relates to?",27,"","The binomial distribution","The hyper-geometric distribution","The uniform distribution","The negative binomial distribution","The Poisson distribution","Do not know"
28,"Regarding the two random variables X and Y it is known, that E(X) = 4, E(Y) = 7, SD(X) = 10, SD(Y) = 5 and Cov(X, Y) = 0.5. Define U = 3X − 2Y + 1.",28,"E(U) is calculated to be",-2,-1,26,26.5,27,Do not know
29,"While fishing after sandeels one obtains a certain by-catch of herring. The catch of each species per trawl haul is normally distributed: mean 10 ton (sandeels) and 1 ton (herring)...",29,"The expected by-catch of herring is","1 ton","1.24 ton","1.42 ton","1.49 ton","1.6 ton","Do not know"
30,"Define the two continuous random variables X and Y with joint density f(x, y) = K(y − x)(1 − y), 0 < x < y < 1, where K is a normalizing constant.",30,"In the range of Y, the marginal density fY(y) of Y is","K/2*(1-y)","K/2*y(1-y)^2","K/2*y^2(1-y)","K/4*(1-y)","1","Do not know"
